categorie;propriete;remplace
Porte;$.enveloppe.portes..id;//enveloppe/porte_collection/porte/donnee_entree/reference
Porte;$.enveloppe.portes..description;//enveloppe/porte_collection/porte/donnee_entree/description
Porte;$.enveloppe.portes..surface;//enveloppe/porte_collection/porte/donnee_entree/surface_porte
Porte;$.enveloppe.portes..surface;//enveloppe/porte_collection/porte/donnee_entree/nb_porte
Porte;$.enveloppe.portes..isolation;//enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id
Porte;$.enveloppe.portes..materiau;//enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id
Porte;$.enveloppe.portes..type_pose;//enveloppe/porte_collection/porte/donnee_entree/enum_type_pose_id
Porte;$.enveloppe.portes..taux_vitrage;//enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id
Porte;$.enveloppe.portes..type_vitrage;//enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id
Porte;$.enveloppe.portes..largeur_dormant;//enveloppe/porte_collection/porte/donnee_entree/largeur_dormant
Porte;$.enveloppe.portes..presence_sas;//enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id
Porte;$.enveloppe.portes..presence_joint;//enveloppe/porte_collection/porte/donnee_entree/presence_joint
Porte;$.enveloppe.portes..presence_retour_isolation;//enveloppe/porte_collection/porte/donnee_entree/presence_retour_isolation
Porte;$.enveloppe.portes..u;//enveloppe/porte_collection/porte/donnee_entree/uporte_saisi
Porte;$.enveloppe.portes..paroi_id;//enveloppe/porte_collection/porte/donnee_entree/reference_paroi
Porte;$.enveloppe.portes..local_non_chauffe_id;//enveloppe/porte_collection/porte/donnee_entree/reference_lnc
Porte;$.enveloppe.portes..mitoyennete;//enveloppe/porte_collection/porte/donnee_entree/enum_type_adjacence_id
