Nom table;Identifiant BDD;Donnée obligatoire;Type de donnée;Table de références;Champ récupéré (enum) ;Description
audit;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit;date_etablissement_audit;X;Date; ; ;Date d'établissement de l'AUDIT
audit;date_reception_audit;X;Date; ; ;Date de réception de l'AUDIT
audit;numero;X;Texte; ; ;Numéro de l'AUDIT
audit;ancien_audit_id; ; ;audit; ;N° de l'AUDIT remplacé le cas échéant
audit;audit_remplacant_id; ; ;audit;numero;Indique si l'AUDIT a été remplacé et par quel autre AUDIT
audit;hashkey; ;Texte; ; ;clé de hachage
audit;id;X; ; ; ;Identifiant technique de l'AUDIT
audit;id_auditeur;X; ; ; ;Identifiant technique de l'auditeur
audit;id_from_xml; ;Texte; ; ;id
audit;version;X;Texte; ; ;Version schéma
audit;xml_hash; ;Texte; ; ;Hash de la chaine de caractère modélisant le xml
audit;xml_path; ;Texte; ; ;Chemin du répertoire de stockage du XML
audit;migre_en_utc;X;Booléen; ; ;Indique si les dates de la table ont été migrées au format UTC
audit;suppression_en_cours; ;Booléen; ; ;Indique si une demande de suppression est en cours
audit;traite_par_batch_migration_compte_factice; ;Booléen; ; ;Indique si l'AUDIT a été traité par le batch de reprise des AUDIT sur compte factice
audit;migre_compte_factice; ;Booléen; ; ;Indique si l'AUDIT a été migré du compte factice vers un autre compte
audit_administratif;date_expiration_audit; ;Date; ; ;date d'expiration de l'audit
audit_administratif;date_visite_auditeur;X;Date; ; ;date de visite de l'auditeur
audit_administratif;audit_a_remplacer; ;Texte; ; ;numéro de l'audit à remplacer dans le cas d'une opération de remplacement de l'audit
audit_administratif;numero_dpe; ;Texte; ; ;numéro du DPE en lien avec l'audit
audit_administratif;audit_id;X; ;audit; ;Identifiant technique de l'AUDIT
audit_administratif;date_etablissement_audit;X;Date; ; ;date de l'établissement de l'audit
audit_administratif;derogation_economique_detail; ;Texte; ; ;justification de la dérogation économique, pour coûts de travaux excessifs
audit_administratif;derogation_technique_detail; ;Texte; ; ;justification de la dérogation technique, architecturale, patrimoniale
audit_administratif;enum_derogation_ventilation_id; ; ;audit_enum_derogation_ventilation; ;Cas de dérogation où la ventilation ne peut être traitée pour raisons techniques
audit_administratif;derogation_ventilation_detail;X; ; ; ;justification de la dérogation pour la ventilation
audit_administratif;enum_derogation_economique_id;X; ;audit_enum_derogation_economique;lib;Cas de dérogation pour des raisons de disproportion des coûts des travaux
audit_administratif;enum_derogation_technique_id;X; ;audit_enum_derogation_technique;lib;Cas de dérogation pour des raisons architecturales, techniques ou patrimoniales
audit_administratif;motif_remplacement; ;Texte; ; ;motif du remplacement du DPE : texte libre
